# Provenance des images des grilles azygos. Généré par scripts/azygos/build_manifest.py — ne pas éditer à la main.
# nom_depot	sha256	octets	dimensions	source
azygos-23-resultat.jpg	5d3ed2df87afbbcb09b323ee154a1e6d92393f1e65eb58d665a617855674f277	66606	900x542	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/atemnot-befund.webp
azygos-24-resultat-de-la-laryngoscopie.jpg	ec2a37923ffa0870bdcd541f739446b3644dc04712f59e0b280ca682117dd580	53985	774x620	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/heiserkeit-laryngoskopiebefund.webp
azygos-26-mains.jpg	bedebb41fdaa86ca6faf30a90a9dd652ba0773f48304abb817a6a76e847db466	75348	900x655	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/hautausschlag-hande.webp
azygos-26-muqueuses.jpg	8fc071e45d11c5cbd4d49ce23f2d052bc04a408a29fa8d8bfe9bde02793b60d7	29218	783x266	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/hautausschlag-schleimhaute.webp
azygos-26-peau.jpg	c842d32ddb843ea1e493182bfaf2b280a87c7c73b8077080534f9a1731aaa4a6	70002	900x639	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/hautausschlag-haut.webp
azygos-26-pieds.jpg	7d1d9ef58776578744c177c48c0956372f5cfccbd658aea46acddf71ad5364a6	58561	900x658	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/hautausschlag-fusse.webp
azygos-27-observation-cutanee-du-visage.jpg	10e2fbd68c0ea18242a88c8d6b1aa20b8e8f7e777706388c2c4e8a6d4d5e0a0d	53632	900x600	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/ausschlag-im-gesicht-hautbefund-gesicht.webp
azygos-31-echographie.jpg	c8643a17e9122fd55ffb27c1d3d4c0386e708049fc7f4f93c68bdc636ab277c6	45970	650x560	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/fieber-sonographie.webp
azygos-33-audiometrie.jpg	e65fba7e82e13347c0758f2a2b06403ee6ba87a07283a58ae955e2e5fce4eecb	64298	900x450	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/horminderung-audiometrie.fr.webp
azygos-34-evolution-des-percentiles.jpg	a435f75ab9c3873da57106bd26feaeb83c631ccd59a9a573e71bd18e49b0e719	44806	900x628	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/kleinster-in-der-klasse-perzentilenverlauf.fr.webp
